Symbol Probabilities:
Symbol:   23 | Probability: 0.02983544745914830376
Symbol:   11 | Probability: 0.02889420579716397638
Symbol:    7 | Probability: 0.02505024363853458613
Symbol:   19 | Probability: 0.02443337822918337926
Symbol:   27 | Probability: 0.02360999617940808329
Symbol:   18 | Probability: 0.02319872077692445786
Symbol:   10 | Probability: 0.02203931142023939777
Symbol:   26 | Probability: 0.01950022645970233420
Symbol:    3 | Probability: 0.01918950442506360196
Symbol:   16 | Probability: 0.01891256363434511145
Symbol:   15 | Probability: 0.01881965499334138994
Symbol:   14 | Probability: 0.01849215816593709552
Symbol:   20 | Probability: 0.01797959353954900127
Symbol:   -5 | Probability: 0.01792354583634449619
Symbol:   13 | Probability: 0.01772915719393937384
Symbol:   22 | Probability: 0.01744006115127378492
Symbol:    8 | Probability: 0.01711700671415509328
Symbol:    2 | Probability: 0.01693320622282945206
Symbol:   21 | Probability: 0.01692065578892443245
Symbol:   -9 | Probability: 0.01589691648648300024
Symbol:    6 | Probability: 0.01578652445058227258
Symbol:    5 | Probability: 0.01480658221064978103
Symbol:    4 | Probability: 0.01476289416385336874
Symbol:   34 | Probability: 0.01437921336360390746
Symbol:   35 | Probability: 0.01410537952069252504
Symbol:   12 | Probability: 0.01354847275323283785
Symbol:   32 | Probability: 0.01318576385068134273
Symbol:   29 | Probability: 0.01313778331020406046
Symbol:   17 | Probability: 0.01311292772774721137
Symbol:   30 | Probability: 0.01278459965553487704
Symbol:   -6 | Probability: 0.01277209010252205491
Symbol:   24 | Probability: 0.01249900574263431569
Symbol:   39 | Probability: 0.01249140189668534670
Symbol:    9 | Probability: 0.01231634991629024060
Symbol:   25 | Probability: 0.01124531142157483843
Symbol:    0 | Probability: 0.01072180434304154106
Symbol:   28 | Probability: 0.01064166416736789939
Symbol:   36 | Probability: 0.01017217437439323427
Symbol:   43 | Probability: 0.00999404270011915521
Symbol:  -13 | Probability: 0.00937262588476981892
Symbol:    1 | Probability: 0.00923902712906426136
Symbol:   38 | Probability: 0.00906753178629044788
Symbol:   37 | Probability: 0.00902339404967984933
Symbol:   42 | Probability: 0.00877520615314115841
Symbol:   -4 | Probability: 0.00840523407874234872
Symbol:   33 | Probability: 0.00832457607843418816
Symbol:   -3 | Probability: 0.00825874421503011366
Symbol:  -10 | Probability: 0.00807010615146095366
Symbol:   40 | Probability: 0.00801490332002855604
Symbol:  -14 | Probability: 0.00785999199252337619
Symbol:  -11 | Probability: 0.00748391503822288476
Symbol:  -17 | Probability: 0.00715475572120250793
Symbol:  -12 | Probability: 0.00713075863748183388
Symbol:   -7 | Probability: 0.00700785704856828496
Symbol:   -8 | Probability: 0.00689310438416635644
Symbol:  -21 | Probability: 0.00687891871457338520
Symbol:   47 | Probability: 0.00598126971063700497
Symbol:   45 | Probability: 0.00530332824834084567
Symbol:   46 | Probability: 0.00530296032031105698
Symbol:   50 | Probability: 0.00515831009674776533
Symbol:   41 | Probability: 0.00514149442309000740
Symbol:  -25 | Probability: 0.00502491574550320043
Symbol:  -18 | Probability: 0.00496328098703153163
Symbol:   51 | Probability: 0.00486717000947223862
Symbol:   55 | Probability: 0.00479490621902889120
Symbol:  -22 | Probability: 0.00476537658789731849
Symbol:  -19 | Probability: 0.00462338362232694693
Symbol:   44 | Probability: 0.00450884898935007775
Symbol:   31 | Probability: 0.00443191115023200497
Symbol:  -15 | Probability: 0.00431289324607733900
Symbol:  -16 | Probability: 0.00415292631490357753
Symbol:   48 | Probability: 0.00360031204112476032
Symbol:   52 | Probability: 0.00353732821321053230
Symbol:  -24 | Probability: 0.00337820615380887875
Symbol:  -29 | Probability: 0.00337766107524622864
Symbol:  -20 | Probability: 0.00325654461862535894
Symbol:   59 | Probability: 0.00324068283245223902
Symbol:   54 | Probability: 0.00307347998335929639
Symbol:   53 | Probability: 0.00303873122499034778
Symbol:   49 | Probability: 0.00298470031246764883
Symbol:  -26 | Probability: 0.00291182330864131998
Symbol:   58 | Probability: 0.00289123296593720921
Symbol:  -30 | Probability: 0.00276589215045580086
Symbol:  -27 | Probability: 0.00270852263173686951
Symbol:  -23 | Probability: 0.00263191183975638706
Symbol:  -28 | Probability: 0.00253420650740134252
Symbol:  -37 | Probability: 0.00248716622744463199
Symbol:  511 | Probability: 0.00216321241069756479
Symbol:  -41 | Probability: 0.00210330827666231016
Symbol:   56 | Probability: 0.00201467850237539107
Symbol:   64 | Probability: 0.00184261082711079604
Symbol:  -34 | Probability: 0.00179607474482453705
Symbol:   66 | Probability: 0.00178212073362069229
Symbol:   61 | Probability: 0.00172081302228661360
Symbol:  -38 | Probability: 0.00169595743982976538
Symbol:  -35 | Probability: 0.00168692276265383872
Symbol:   57 | Probability: 0.00167093833380412221
Symbol:   67 | Probability: 0.00164779974881962212
Symbol:   62 | Probability: 0.00162983941018029869
Symbol: -512 | Probability: 0.00161441368685729877
Symbol:  -31 | Probability: 0.00154739627757945935
Symbol:   60 | Probability: 0.00147513248713611192
Symbol:   71 | Probability: 0.00142129235211034045
Symbol:  -33 | Probability: 0.00140318211686628834
Symbol:  -32 | Probability: 0.00138875116192012480
Symbol:   68 | Probability: 0.00124023088056201733
Symbol:  -45 | Probability: 0.00121387633205788121
Symbol:   75 | Probability: 0.00115379504748976537
Symbol:  -36 | Probability: 0.00115160110627509846
Symbol:   70 | Probability: 0.00107926918101141972
Symbol:   69 | Probability: 0.00105524484336261314
Symbol:   74 | Probability: 0.00103393227156299105
Symbol:  -42 | Probability: 0.00102391645297429407
Symbol:   65 | Probability: 0.00100132294655244408
Symbol:  -46 | Probability: 0.00097942441529797332
Symbol:  -43 | Probability: 0.00097423254198873027
Symbol:   72 | Probability: 0.00096289490788560659
Symbol:  -39 | Probability: 0.00095422815873946873
Symbol:   -2 | Probability: 0.00088658390911458161
Symbol:  -44 | Probability: 0.00088625686197699150
Symbol:  -40 | Probability: 0.00087848949245922649
Symbol:  -53 | Probability: 0.00087163512953390048
Symbol:  -49 | Probability: 0.00074425026944255378
Symbol:  -48 | Probability: 0.00067736912980537688
Symbol:   82 | Probability: 0.00065205023057027603
Symbol:   78 | Probability: 0.00064680384940476803
Symbol:  -57 | Probability: 0.00064409208355558343
Symbol:   87 | Probability: 0.00063336766283544118
Symbol:   77 | Probability: 0.00062904791522643856
Symbol:  -50 | Probability: 0.00061141462372470525
Symbol:   80 | Probability: 0.00060582756845754088
Symbol:   83 | Probability: 0.00060330658010528386
Symbol:  -54 | Probability: 0.00059419014114495963
Symbol:  -51 | Probability: 0.00058834417356053647
Symbol:   73 | Probability: 0.00058564603467541802
Symbol:   79 | Probability: 0.00055335012983839501
Symbol:  -47 | Probability: 0.00055002515060622887
Symbol:   76 | Probability: 0.00054535110193150362
Symbol:   84 | Probability: 0.00046886295262761732
Symbol:   91 | Probability: 0.00046281258058220032
Symbol:  -61 | Probability: 0.00044372120392537783
Symbol:   63 | Probability: 0.00043807964080194847
Symbol:   86 | Probability: 0.00041793898791202440
Symbol:   90 | Probability: 0.00041390540654841305
Symbol:  -56 | Probability: 0.00041141167212428850
Symbol:  -52 | Probability: 0.00039375112669442271
Symbol:   85 | Probability: 0.00039163894726415327
Symbol:  -58 | Probability: 0.00036608838963992615
Symbol:   81 | Probability: 0.00036259988683896502
Symbol:  -62 | Probability: 0.00036020154116330421
Symbol:  -69 | Probability: 0.00035928853457086515
Symbol:  -59 | Probability: 0.00035266583003466551
Symbol:  -55 | Probability: 0.00033876632668708597
Symbol:  -73 | Probability: 0.00033091719538492337
Symbol:  -60 | Probability: 0.00031542333724159203
Symbol:   98 | Probability: 0.00028818303607314937
Symbol:   88 | Probability: 0.00028746080697763789
Symbol:   99 | Probability: 0.00026516709376524559
Symbol:   94 | Probability: 0.00025813558030705831
Symbol:   93 | Probability: 0.00025295733396188158
Symbol:  103 | Probability: 0.00024314591983417839
Symbol:  -70 | Probability: 0.00024260084127152820
Symbol:  -66 | Probability: 0.00023975280578168102
Symbol:  -67 | Probability: 0.00023719093653722518
Symbol:   89 | Probability: 0.00023189004751545219
Symbol:  -65 | Probability: 0.00022747491115798576
Symbol:   96 | Probability: 0.00022319604444118185
Symbol:   92 | Probability: 0.00022292350515985677
Symbol:  107 | Probability: 0.00021897168558064297
Symbol:  100 | Probability: 0.00021087726892528782
Symbol:  -77 | Probability: 0.00020838353450116325
Symbol:  -63 | Probability: 0.00020433632617348566
Symbol:  106 | Probability: 0.00019740020146376215
Symbol:  102 | Probability: 0.00018876070624575681
Symbol:  -85 | Probability: 0.00018395038793036901
Symbol:  104 | Probability: 0.00017761384963956066
Symbol:  101 | Probability: 0.00017450690183245466
Symbol:  -81 | Probability: 0.00017427524344332832
Symbol:  -78 | Probability: 0.00016847015675110392
Symbol:  119 | Probability: 0.00016119335793972404
Symbol:  -74 | Probability: 0.00015814091798888304
Symbol:  -89 | Probability: 0.00015702350693545016
Symbol:   97 | Probability: 0.00015671008676192632
Symbol:  -75 | Probability: 0.00015630127783993868
Symbol:  -64 | Probability: 0.00015567443749289100
Symbol:  -68 | Probability: 0.00015452977251132562
Symbol:  114 | Probability: 0.00014619007050277789
Symbol: -105 | Probability: 0.00014614918961057912
Symbol:  111 | Probability: 0.00014418690678503847
Symbol:  -76 | Probability: 0.00014253804413302167
Symbol:  -71 | Probability: 0.00014148876789992008
Symbol: -137 | Probability: 0.00014071203094814357
Symbol:  115 | Probability: 0.00013801389206302521
Symbol:  110 | Probability: 0.00013571093513582819
Symbol:  123 | Probability: 0.00013471616675899163
Symbol: -101 | Probability: 0.00013342160517269746
Symbol: -133 | Probability: 0.00013261761429278842
Symbol: -121 | Probability: 0.00013242683679586087
Symbol: -117 | Probability: 0.00013241320983179461
Symbol:  -86 | Probability: 0.00012510915709228223
Symbol:  -72 | Probability: 0.00012403262693104811
Symbol:  -93 | Probability: 0.00012388273032631932
Symbol:  109 | Probability: 0.00012343304051213292
Symbol: -125 | Probability: 0.00011682396293999951
Symbol:  -82 | Probability: 0.00011682396293999951
Symbol:  128 | Probability: 0.00011663318544307194
Symbol:  122 | Probability: 0.00011562479010216912
Symbol:   95 | Probability: 0.00011518872725204897
Symbol:  -83 | Probability: 0.00011428934762367619
Symbol:  116 | Probability: 0.00011250421533099684
Symbol: -109 | Probability: 0.00010979244948181221
Symbol:  108 | Probability: 0.00010885218896124065
Symbol:  118 | Probability: 0.00010566347936973711
Symbol:  105 | Probability: 0.00010521378955555071
Symbol:  -94 | Probability: 0.00010150725532952949
Symbol:  130 | Probability: 0.00010104393855127685
Symbol:  112 | Probability: 0.00010077139926995175
Symbol: -141 | Probability: 0.00009989927356971147
Symbol:  -79 | Probability: 0.00009927243322266376
Symbol: -149 | Probability: 0.00009884999733660988
Symbol:  135 | Probability: 0.00009523885185905244
Symbol: -118 | Probability: 0.00009474828115266728
Symbol:  117 | Probability: 0.00009468014633233601
Symbol: -126 | Probability: 0.00009424408348221586
Symbol: -110 | Probability: 0.00009294952189592170
Symbol:  139 | Probability: 0.00009224091976447645
Symbol: -102 | Probability: 0.00009222729280041020
Symbol: -134 | Probability: 0.00009192749959095261
Symbol: -145 | Probability: 0.00009184573780655508
Symbol:  131 | Probability: 0.00009085096942971851
Symbol:  -88 | Probability: 0.00009081008853751974
Symbol:  -91 | Probability: 0.00008982894712474942
Symbol: -113 | Probability: 0.00008973355837628564
Symbol:  -90 | Probability: 0.00008745785537722115
Symbol:  -80 | Probability: 0.00008557733433607803
Symbol: -153 | Probability: 0.00008364230543866989
Symbol:  138 | Probability: 0.00008332888526514605
Symbol: -123 | Probability: 0.00008324712348074852
Symbol:  151 | Probability: 0.00008174815743346052
Symbol:  -92 | Probability: 0.00008094416655355151
Symbol:  132 | Probability: 0.00008083515084102147
Symbol: -115 | Probability: 0.00008071250816442518
Symbol: -131 | Probability: 0.00008024919138617253
Symbol: -142 | Probability: 0.00007887286801548084
Symbol:  120 | Probability: 0.00007884561408734832
Symbol:  -99 | Probability: 0.00007798711535117429
Symbol:  113 | Probability: 0.00007682882340554266
Symbol: -107 | Probability: 0.00007628374484289248
Symbol:  125 | Probability: 0.00007594307074123613
Symbol:  136 | Probability: 0.00007569778538804354
Symbol: -122 | Probability: 0.00007550700789111598
Symbol:  -98 | Probability: 0.00007527534950198965
Symbol:  -84 | Probability: 0.00007515270682539337
Symbol:  -87 | Probability: 0.00007459400129867693
Symbol: -114 | Probability: 0.00007445773165801439
Symbol: -130 | Probability: 0.00007359923292184036
Symbol:  134 | Probability: 0.00007354472506557534
Symbol: -124 | Probability: 0.00007335394756864777
Symbol:  146 | Probability: 0.00007316317007172021
Symbol: -139 | Probability: 0.00007244094097620873
Symbol: -106 | Probability: 0.00007177321973696226
Symbol: -120 | Probability: 0.00007132352992277586
Symbol:  155 | Probability: 0.00006941575495350024
Symbol: -138 | Probability: 0.00006918409656437391
Symbol: -112 | Probability: 0.00006889793031898256
Symbol:  -96 | Probability: 0.00006722181373883326
Symbol:  147 | Probability: 0.00006718093284663450
Symbol: -108 | Probability: 0.00006686751267311065
Symbol:  124 | Probability: 0.00006655409249958679
Symbol:  133 | Probability: 0.00006611802964946666
Symbol: -157 | Probability: 0.00006512326127263008
Symbol:  144 | Probability: 0.00006468719842250994
Symbol: -150 | Probability: 0.00006401947718326347
Symbol:  142 | Probability: 0.00006246600327971045
Symbol:  154 | Probability: 0.00006193455168112653
Symbol:  -95 | Probability: 0.00006108967990901876
Symbol: -140 | Probability: 0.00006104879901682000
Symbol:  121 | Probability: 0.00006100791812462123
Symbol: -165 | Probability: 0.00006050372045416981
Symbol: -169 | Probability: 0.00006034019688537476
